,a0,a1,a2,a3,a4,a0_err,a1_err,a2_err,a3_err,a4_err,Chi2,Pval,Chi2NDF
3.103,0.005229882088284121,-0.007564229874556183,0.008007109669295076,-0.004472607472922441,0.001014776797669814,0.002164509240488373,0.005030628109226502,0.0048845602770553635,0.0027809494454648295,0.0007815131099070184,84477.23638177576,0.0,42238.61819088788
3.1035,0.0030157680592464153,-0.0037765117307264617,0.004169628681208515,-0.0024154534918867654,0.0005703829364054336,0.0019039788644397725,0.004423960938791737,0.0042912897062301674,0.0024391157727012753,0.0006836153912996599,26265.570310775227,0.0,13132.785155387613
3.104,0.003328224210846109,-0.005012663090465441,0.005124389563421872,-0.0028192384265326442,0.0005705318384375824,0.001784952796397749,0.004147119823327669,0.004023078895810788,0.0022867636476134913,0.0006410922664932009,48741.80503842686,0.0,24370.90251921343
3.1046,0.0029272263216264527,-0.004414723458924019,0.0044920092621754115,-0.002565089253447894,0.0006232910684966786,0.001420865551507515,0.003300976945550796,0.003200665616946373,0.0018178978439673719,0.0005096332364532587,56128.19061520611,0.0,28064.095307603056
3.1054,0.002588155465948594,-0.003869712849049467,0.0038514656713624085,-0.002171880260655845,0.000528362137824534,0.0015310894333032871,0.0035562890463677723,0.003448180961732778,0.0019579970708534897,0.0005477160856457287,36249.44009162279,0.0,18124.720045811395
3.1061,0.0027552714344288853,-0.004312134113094057,0.004241215887657912,-0.002362909357014553,0.000585714929268899,0.0016333815030168306,0.0037919500634067778,0.003674035973073314,0.0020829108450775885,0.0005813931232127364,36593.46900235519,0.0,18296.734501177594
3.1066,0.004358172464105414,-0.00812705307217243,0.00801333029874085,-0.0046081247343550125,0.0012514740628066234,0.0016745019358501043,0.0038881040521290666,0.0037666969786646592,0.0021338191485355045,0.0005945510288667434,123907.4191402062,0.0,61953.7095701031
3.107,0.0020073115689943632,-0.002758225622811139,0.002899041567745231,-0.0017765369514377571,0.0004676300351952323,0.0017029431660218995,0.003955171475968512,0.0038341861554790184,0.0021739507946170037,0.0006062413708145958,15790.375691668922,0.0,7895.187845834461
3.1073,0.0025681073239658403,-0.004045428935268047,0.004020303916590251,-0.0023062382430079076,0.0005977276360686345,0.0017492119260592025,0.004063019053087969,0.003938394638528109,0.0022332239293344006,0.000624147731340811,29730.08453858234,0.0,14865.04226929117
3.1088,0.002799305453578649,-0.004538227109481818,0.00450880752437266,-0.0026308782379103057,0.0006725127651692198,0.0014777837002267155,0.003430240488241754,0.0033192411927960444,0.0018774585392940322,0.0005226549905594079,46069.40421464216,0.0,23034.70210732108
3.1115,0.002997613708622282,-0.004948400243877327,0.0049662633867040284,-0.002905954305725711,0.0007839954406851368,0.0018538700918041059,0.004305664201882134,0.004173867606583729,0.0023668372217704684,0.0006598106793842693,40675.055960756355,0.0,20337.527980378178
3.1128,0.0038483118912154834,-0.006748240877018752,0.006423900526433268,-0.0035025347951063157,0.000822491782375312,0.0014984974171940676,0.0034774048080813942,0.003364686003412795,0.0019030970509499145,0.0005297544410440111,94120.8592993729,0.0,47060.42964968645
3.1151,0.002724203945343451,-0.00407972788104205,0.004039436391060303,-0.002302487938518949,0.0005637234975296446,0.001845829008072596,0.004286241985648877,0.00415332307342512,0.0023540211569157616,0.0006564291352826058,26479.01012373827,0.0,13239.505061869135
3.1167,0.004141108436028218,-0.007259437992467532,0.0070294084218596176,-0.00393344539632956,0.00098490590311473,0.0015727379120506653,0.0036504283989162185,0.0035310094865469888,0.001993157853453815,0.0005530749772879525,100894.07843701696,0.0,50447.03921850848
3.1195,0.006034133261326957,-0.011453241297446848,0.011087763455941424,-0.006162574056253423,0.0015574544712992355,0.0019119579883178012,0.004437898565504932,0.00430096529153135,0.002441995466265943,0.0006826867780868405,185477.60726564046,0.0,92738.80363282023
3.1207,0.003924893920417283,-0.006624857143626706,0.006504222230369283,-0.003737124598846675,0.0009772055686814163,0.0014107214544956408,0.0032744863680738835,0.0031680661055310086,0.0017905265332180944,0.0004982358560872316,104999.1091391507,0.0,52499.55456957535
3.1235,0.0035957750547330747,-0.005752424459886996,0.005686795444721504,-0.003293877495949671,0.0008751422677380494,0.0019252093212716694,0.004470094239469255,0.004330729578370608,0.0024549907496346597,0.0006851563196572509,46735.16422917889,0.0,23367.582114589444
3.1247,0.0029892175579581126,-0.00445269316028396,0.0044629183817503915,-0.002626998918120904,0.0007068568487154092,0.0017189901706546498,0.003991084879567693,0.0038628567644267806,0.002183717390830388,0.0006079095595255418,33723.1989713553,0.0,16861.59948567765
3.1274,0.003722642595058945,-0.006158975616142204,0.006049130551354587,-0.0034108022427274953,0.0008549986285853461,0.0016190566146390755,0.0037583964821706,0.0036388638820877388,0.002060575554963472,0.0005747527646876227,71970.82789870024,0.0,35985.41394935012
3.1288,0.0037177875717251396,-0.006231287705781519,0.006056333519439239,-0.0033540360476798092,0.0008507334413440648,0.0015429957829294638,0.0035802436982028956,0.0034618845046492353,0.001955383619829583,0.0005437077212762054,74496.18261772607,0.0,37248.09130886303
3.1327,0.005982181228717964,-0.011844340342611837,0.011710320815388364,-0.006774583151940794,0.0018910341757928384,0.002047625343332759,0.004754872526752553,0.004606377184245937,0.002611002134420124,0.0007293954185267358,174377.61912495142,0.0,87188.80956247571
3.1344,0.0012156406121672791,-0.0007343324696069686,0.0009004019043694633,-0.0006886393138236802,0.00022343766235188856,0.0013855763537806846,0.0032177199691821863,0.003119065751505502,0.0017689716837445276,0.0004937428308226554,1935.9548527445245,0.0,967.9774263722622
3.1368,0.003474465892760681,-0.006151361042941339,0.00601488270336592,-0.0033389055375554477,0.0008442684363904607,0.0015522841363061624,0.0036055531164936355,0.0034913758641585855,0.00197348448438853,0.0005488109165147021,83951.00089553063,0.0,41975.50044776531
3.1384,0.0032302542772227882,-0.005637855103883593,0.005680611996686347,-0.0034134560005321113,0.000999329865335019,0.0013924789642555814,0.003233557248672594,0.0031328696126555833,0.0017755222774170592,0.0004958133656268681,87024.99057009742,0.0,43512.49528504871
3.1409,0.0033551462599682447,-0.0061728017769335786,0.0060306855603364795,-0.0033786749107940217,0.0008774453846529806,0.001453279975496589,0.003374140306038791,0.003263756559092786,0.0018415152571409426,0.0005110088378666958,87770.33468358834,0.0,43885.16734179417
3.1422,0.0010936287495588726,-0.0008881584674362841,0.001004152956035398,-0.0006943261889986729,0.0002214596722592277,0.0013046977883564778,0.0030293435513339085,0.002935491676458169,0.001664053628154188,0.00046369926982262115,2796.5103967419227,0.0,1398.2551983709614
3.1428,0.0025574671341227484,-0.0044329103355111865,0.004458292497925509,-0.0026297649682966995,0.000715805361499483,0.0012211607426270883,0.0028342761304302063,0.002743697922339024,0.0015530425495225218,0.0004328542104123813,65649.57300632707,0.0,32824.78650316354
3.1468,0.0019606434532272177,-0.00318657162390501,0.0031234160602953143,-0.0017580593054576932,0.00046574015896302945,0.001425261124176458,0.003308596977487708,0.003201648926095085,0.0018099032879846293,0.0005040805713273128,24103.634612557995,0.0,12051.817306278997
