Run,Angle,Detector,Ep,Q int,Yield,Yield effcor,Yield err,Yield err effcor
519,-15,7,2352.8,177747.0,0.0385565,1.7671958093750442e-09,0.000535521,2.4545030462628425e-11
519,-30,8,2352.8,177747.0,0.037216900000000004,1.6661712129836432e-09,0.000516902,2.314129420595673e-11
519,-45,9,2352.8,177747.0,0.0346574,1.6177947493099884e-09,0.000498023,2.3247531391149032e-11
519,-90,10,2352.8,177747.0,0.012293799999999999,9.8537560784566e-10,0.00036135400000000004,2.8963332525131428e-11
519,-105,11,2352.8,177747.0,0.0334565,1.6123603821132577e-09,0.000517588,2.4943983544520103e-11
519,-120,12,2352.8,177747.0,0.036431599999999995,1.5613954159308215e-09,0.00051599,2.2114439680556023e-11
520,120,0,2352.0,186563.0,0.03831880000000001,1.6429818489363735e-09,0.000512045,2.1954775223614135e-11
520,105,1,2352.0,186563.0,0.0246958,1.1455046354993765e-09,0.000441437,2.0475875646099264e-11
520,90,2,2352.0,186563.0,0.017364599999999997,1.3444579935202775e-09,0.000389371,3.0147135747151335e-11
520,45,3,2352.0,186563.0,0.03623780000000001,1.7352451609882814e-09,0.000501653,2.4021627713196007e-11
520,30,4,2352.0,186563.0,0.037522900000000005,1.7327829897356992e-09,0.000515921,2.382489447370623e-11
520,15,5,2352.0,186563.0,0.0390241,1.7765321633409279e-09,0.0005272030000000001,2.4000376334363314e-11
520,0,6,2352.0,186563.0,0.03868169999999999,1.7585434034365986e-09,0.000521403,2.3703968703083186e-11
520,-15,7,2352.0,186563.0,0.0382046,1.7510668504363676e-09,0.0005208540000000001,2.3872784254178397e-11
520,-30,8,2352.0,186563.0,0.0362288,1.6219347565472084e-09,0.000500237,2.2395215320709105e-11
520,-45,9,2352.0,186563.0,0.0343334,1.6026705478760541e-09,0.000486491,2.2709221851222696e-11
520,-90,10,2352.0,186563.0,0.011406600000000001,9.142645405368812e-10,0.00034383199999999997,2.755890497623103e-11
520,-105,11,2352.0,186563.0,0.0320372,1.5439604272365266e-09,0.000504409,2.430885143339459e-11
520,-120,12,2352.0,186563.0,0.0337394,1.446012376515343e-09,0.000492493,2.1107398867412305e-11
521,120,0,2351.2,197459.0,0.031500799999999995,1.3506488362624848e-09,0.00045613699999999996,1.9557627369027487e-11
521,105,1,2351.2,197459.0,0.0207912,9.64391353088162e-10,0.00039805300000000005,1.846352645690495e-11
521,90,2,2351.2,197459.0,0.013952899999999999,1.080306366849169e-09,0.000342555,2.652239659827112e-11
521,45,3,2351.2,197459.0,0.0301112,1.4418732398641842e-09,0.00046430699999999996,2.223331645306795e-11
521,30,4,2351.2,197459.0,0.032605,1.5056775830314946e-09,0.00047708699999999995,2.2031565743160452e-11
521,15,5,2351.2,197459.0,0.0330174,1.5030833010855537e-09,0.00048000800000000003,2.185187232148729e-11
521,0,6,2351.2,197459.0,0.0326748,1.4854583433150603e-09,0.000470993,2.1412234550570786e-11
521,-15,7,2351.2,197459.0,0.0314375,1.440904082508214e-09,0.00046936300000000004,2.1512749515015596e-11
521,-30,8,2351.2,197459.0,0.0305005,1.3654832906987851e-09,0.00045606,2.0417445928954864e-11
521,-45,9,2351.2,197459.0,0.029555,1.3796165845059557e-09,0.00044127300000000006,2.0598462158507754e-11
521,-90,10,2351.2,197459.0,0.0108439,8.691628751010718e-10,0.000332669,2.666416552135287e-11
521,-105,11,2351.2,197459.0,0.027412799999999998,1.3210979236559205e-09,0.00045621199999999995,2.1986105977751812e-11
521,-120,12,2351.2,197459.0,0.0290637,1.2456199549289251e-09,0.00044786699999999996,1.91948056288137e-11
522,120,0,2350.5,182579.0,0.0279784,1.1996201175997532e-09,0.000453909,1.9462098188587854e-11
522,105,1,2350.5,182579.0,0.019027900000000004,8.82601399987795e-10,0.000398231,1.8471782914485545e-11
522,90,2,2350.5,182579.0,0.012614299999999998,9.76664965945823e-10,0.000340818,2.6387908989299728e-11
522,45,3,2350.5,182579.0,0.026232599999999995,1.2561466813697622e-09,0.00044506900000000003,2.131210582750314e-11
522,30,4,2350.5,182579.0,0.028317000000000002,1.3076605465021572e-09,0.00046787699999999995,2.1606253964607468e-11
522,15,5,2350.5,182579.0,0.0295667,1.3459937196207526e-09,0.00047654699999999996,2.1694313843077205e-11
522,0,6,2350.5,182579.0,0.028111900000000002,1.2780202603057603e-09,0.000459647,2.0896423884147346e-11
522,-15,7,2350.5,182579.0,0.0271512,1.2444461208746565e-09,0.000462952,2.1218908208519843e-11
522,-30,8,2350.5,182579.0,0.0270712,1.211956238722806e-09,0.00045370400000000003,2.031196967011038e-11
522,-45,9,2350.5,182579.0,0.0248098,1.1581123849864949e-09,0.000431366,2.013600702392137e-11
522,-90,10,2350.5,182579.0,0.00863337,6.919839440617618e-10,0.000329019,2.637160984543195e-11
522,-105,11,2350.5,182579.0,0.0235066,1.132847445434624e-09,0.00044750199999999996,2.1566347218520972e-11
522,-120,12,2350.5,182579.0,0.0250734,1.0746025928534531e-09,0.000443064,1.8988957349223576e-11
523,120,0,2349.5,205553.0,0.0238194,1.0212961223356434e-09,0.00040401,1.732259613528566e-11
523,105,1,2349.5,205553.0,0.015697,7.280989586664011e-10,0.00034399,1.5955836197468012e-11
523,90,2,2349.5,205553.0,0.00986857,7.640762137402766e-10,0.00029841,2.3104460214827066e-11
523,45,3,2349.5,205553.0,0.0222891,1.0673123897638348e-09,0.00039976300000000003,1.9142630382974637e-11
523,30,4,2349.5,205553.0,0.022924599999999996,1.0586430400234256e-09,0.000405229,1.8713210283523064e-11
523,15,5,2349.5,205553.0,0.0245516,1.117686431243286e-09,0.000418823,1.906648789458149e-11
523,0,6,2349.5,205553.0,0.0235822,1.0720915122272951e-09,0.000406695,1.848912559325592e-11
523,-15,7,2349.5,205553.0,0.023796400000000002,1.0906824623140663e-09,0.000414869,1.9015075492838177e-11
523,-30,8,2349.5,205553.0,0.0215608,9.652599837411964e-10,0.000393593,1.7620847685644724e-11
523,-45,9,2349.5,205553.0,0.0207701,9.695406672930856e-10,0.000386291,1.8031922518876335e-11
523,-90,10,2349.5,205553.0,0.0070628,5.660992405189876e-10,0.00029246599999999996,2.3441805017503853e-11
523,-105,11,2349.5,205553.0,0.019709599999999997,9.498596143439826e-10,0.00040119099999999996,1.9334493269182367e-11
523,-120,12,2349.5,205553.0,0.0209037,8.958964568120291e-10,0.00039053,1.6737440897008745e-11
524,120,0,2348.1,177413.0,0.0198513,8.511572799197945e-10,0.000405236,1.73751629105186e-11
524,105,1,2348.1,177413.0,0.012644200000000001,5.864960726998606e-10,0.00035617900000000003,1.6521218003366257e-11
524,90,2,2348.1,177413.0,0.00830462,6.42987039272334e-10,0.00030655200000000003,2.3734856364651545e-11
524,45,3,2348.1,177413.0,0.018683500000000002,8.946584220158109e-10,0.00040199699999999997,1.924960535633526e-11
524,30,4,2348.1,177413.0,0.0194807,8.99605989626181e-10,0.000414874,1.9158610077675456e-11
524,15,5,2348.1,177413.0,0.0208394,9.48692330245334e-10,0.000427575,1.946491372614608e-11
524,0,6,2348.1,177413.0,0.0202998,9.228673864148232e-10,0.000413707,1.8807904404551635e-11
524,-15,7,2348.1,177413.0,0.0196912,9.025250248742979e-10,0.000415367,1.9037900788522917e-11
524,-30,8,2348.1,177413.0,0.019547,8.751037485709791e-10,0.000412339,1.846009129697698e-11
524,-45,9,2348.1,177413.0,0.018118900000000004,8.457836214855342e-10,0.000389441,1.8178963366150695e-11
524,-90,10,2348.1,177413.0,0.00581198,4.658432157092859e-10,0.000293423,2.3518510711163122e-11
524,-105,11,2348.1,177413.0,0.016868599999999997,8.129440420162208e-10,0.00041112699999999996,1.9813336326784846e-11
524,-120,12,2348.1,177413.0,0.0177313,7.5993287526472e-10,0.00039338,1.685958697171869e-11
525,120,0,2346.7,188907.0,0.0171398,7.348972382851146e-10,0.000374725,1.6066953384309594e-11
525,105,1,2346.7,188907.0,0.0117771,5.462759919800009e-10,0.000342358,1.588013654144816e-11
525,90,2,2346.7,188907.0,0.00751716,5.820177747008794e-10,0.00029680900000000004,2.298050243591906e-11
525,45,3,2346.7,188907.0,0.015905799999999998,7.61648402542301e-10,0.000365688,1.7510950787064406e-11
525,30,4,2346.7,188907.0,0.0181003,8.358600201240594e-10,0.000394235,1.8205514551339404e-11
525,15,5,2346.7,188907.0,0.018244200000000002,8.305485096241697e-10,0.00039183199999999994,1.783775027806413e-11
525,0,6,2346.7,188907.0,0.0181059,8.231285338618187e-10,0.00038939199999999996,1.7702498415296743e-11
